missionID,7001,7002,7003,7004,7005,7006,7007,7008
#   - typeID=2（護送）| factionID=0（neutral）
#   - 故事連結：王城權力層開始尋求域外聯盟，暗示世界態勢改變
#   - 場景：城市暗巷，護送任務中的戰鬥難度特別高
#   - 敘述語氣：陰謀、緊張感
#
# missionID 7003 | 尋覓失落古物殘跡
#   - typeID=3（採集）| factionID=0（neutral）
#   - 故事連結：與陣營劇情 9002「三封信」呼應——學者在追尋古文明秘密
#   - 場景：遺跡、廢墟，需要搜索能力強的冒險者
#   - 敘述語氣：神秘、懸疑
#
# missionID 7004 | 調查古文明遺留之謎
#   - typeID=4（調查）| factionID=1（晨曦聖殿，Aurorae）
#   - 故事連結：女神陣營路線——古文明與奧蘿瑞的關聯尚未揭示，但異常開始浮出
#   - 場景：山脈遺跡，多了警示感（「勿驚動」）
#   - 敘述語氣：敬畏、警告
#   - 分數加成：SS 級 + factionID=1 → factionScoreDelta=20（女神陣營專屬高難委託）
#
# missionID 7005 | 平定邊境淪陷廢土
#   - typeID=1（討伐）| factionID=0（neutral）
#   - 威脅來源：明確的軍事危機——邊境潰敗
#   - 場景：前線堡壘，選擇開放感（重奪或撤退）
#   - 敘述語氣：急迫、沉重
#
# == SSS 級（missionID 7006-7008）==
# 世界危險度 minDangerLevel=4（A 末世）| 難度 SSS | 需要 A 級以上冒險者派遣
# 設計主題：末日臨界——已知防線崩潰、古物甦醒、人類文明邊界消亡
#
# missionID 7006 | 討伐末世級威脅
#   - typeID=1（討伐）| factionID=0（neutral）
#   - 威脅來源：超越自然生物的「東西」——可能暗示非自然起源
#   - 場景：邊界末日，明確傳遞「死路一條」的訊號
#   - 敘述語氣：末世、絕望、宿命感
#   - 設計考量：SSS 級但 neutral，強調災難對所有人平等無差
#
# missionID 7007 | 探尋上古遺跡秘密
#   - typeID=4（調查）| factionID=1（晨曦聖殿）
#   - 故事連結：女神陣營在末世仍堅守的選擇——進入古遺跡，對抗可能的異神力量
#   - 場景：大陸最古老的遺跡，底層密室有「呼喚聲」——暗示故事層級（異神的呼喚）
#   - 敘述語氣：詭異、誘惑、決絕
#   - 分數加成：SSS 級 + factionID=1 → factionScoreDelta=30（最高難度女神加成）
#
# missionID 7008 | 護送神域邊緣倖存者
#   - typeID=2（護送）| factionID=1（晨曦聖殿）
#   - 故事連結：女神陣營的終極考題——不是討伐敵人，而是營救倖存者；全力派遣
#   - 場景：神域邊界，城鎮崩壞，強調時間緊急感
#   - 敘述語氣：悲壯、救贖感、最後的希望
#   - 分數加成：SSS 級 + factionID=1 → factionScoreDelta=30
#
# === 難度級別與 factionScoreDelta 對應（FT-05 MissionRewardTable）===
# A=8, S=13, SS=20, SSS=30
# factionID=0（neutral）：不累積女神分數
# factionID=1（Aurorae）：按難度加成；SS=20, SSS=30
#
# === requiredTraitID 使用政策 ===
# 所有 8 個委託均 requiredTraitID=0（無限制）
# 設計理由：
#   - SS 級的特殊性應由描述與任務設計體現，不由 trait 綁定
#   - game-designer 共識（§5.2/Q5.2）：trait 擅長機制用在更高層級或特殊任務
#   - 保持高難委託的普遍性，讓所有高階冒險者都有參與機會
#
# === typeID 與 factionID 分佈 ===
# SS 級類型：討伐(1)=2個｜護送(2)=1個｜採集(3)=1個｜調查(4)=1個
# SSS 級類型：討伐(1)=1個｜護送(2)=1個｜調查(4)=1個
# SS 中立：3 個 | SS 女神：2 個
# SSS 中立：1 個 | SSS 女神：2 個
#
# === isScriptedDeath 政策 ===
# 全部 = 0（嚴格保留給 categoryID=3 陣營劇情委託，見 missionID 9005）
#
# === minDangerLevel 篩選規則（FT-05 SelectMissionFromPool）===
# - E 級冒險者（dangerLevel=0）：無法接 SS/SSS 任務
# - D 級冒險者（dangerLevel=1）：無法接 SS/SSS 任務
# - C 級冒險者（dangerLevel=2）：無法接 SS/SSS 任務
# - B 級冒險者（dangerLevel=3）：可接 SS 級任務（minDangerLevel=3）
# - A 級冒險者（dangerLevel=4）：可接 SS/SSS 全部任務
#
# === 世界難度進階序列對比 ===
# 本檔 missionID 7001-7008（高難委託）為 categoryID=0（常規池）
# 已實裝 missionID 8001-8008（世界難度進階委託）為 categoryID=2（公會挑戰）
# 既有 missionID 9001-9005（陣營劇情委託）為 categoryID=3（陣營故事）
# 三個序列獨立運作，玩家可分別選擇體驗
#
# === 撰寫細節 ===
# - name 長度：8~12 字，動詞開頭，簡潔有力
# - description 長度：112~119 字，留白風格，強調威脅的陌生性與選擇的沉重感
# - 語氣統一：氣勢恢宏但不浮誇；末世感但不完全絕望
# - 奧蘿瑞陣營任務（factionID=1）：暗示「在末世仍有選擇的方向」而非「逃亡」
#
# === 完成標記 ===
# 撰寫日期：2026-04-30
# writer-agent：haiku 4.5（narrative-writer persona）
# 審查版本：v1.0
# 對應設計文件：【FT-09-LORE】story-index.md §42；GDD-FSD-patch-v3.1-aurorae-faction.md §2.1
