# === AdventurerTemplate 冒險者量產 71 位 ===
# isUnique=1 具名冒險者（13 位：12 位普通 + 1 位奧菲莉雅）
# isUnique=0 普通冒險者（58 位：用於隨機招募）
# PK: templateID 區間 1-58（普通）/ 101-112（具名）/ 901（奧菲莉雅）
# 轉置格式：第一列 = PK，後續每列為一個欄位，第 N 欄為該欄位在各筆記錄的值

bio,年輕傭兵，初出茅廬卻有股莽勁。,精靈遊俠，採集高手但談吐冷淡。,戰士出身，拳頭比嘴硬。,年紀輕輕就能吟詩，但傲氣有點高。,橫衝直撞的戰士，後悔裝備錢花太快。,治癒師小姐，理論講得溜卻臨陣緊張。,沉靜的遊俠，說不出理由就接了委託。,學了點魔法就敢出來闖，運氣好死不了。,傭兵甲，沒什麼特色但活著回來。,斥候，地圖讀得比人臉清楚。,結實戰士，家鄉有妹妹得養活。,採集老手，對什麼都保持懷疑。,人到中年的傭兵，想趁還能動多賺點。,斥候新人，被前隊友拋下過一次。,年紀不大卻愛絮叨的法師。,治癒師，總有人來找她要免費診療。,老兵戰士，膝蓋開始疼痛了。,斥候，逃難出身靠腿吃飯。,傭兵，對各地傳聞都感興趣。,獸人戰士，群體中特別沉默。,硬朗戰士，收集傷疤更多於賺金子。,新手法師，想證明自己不是家族恥辱。,年輕斥候，時不時想起曾失去的人。,精靈治癒師，信不信由你她療傷時邊唱歌。,遊俠，老東家倒閉後四處漂泊。,退役戰士，撫養孤兒的責任讓她不敢退休。,市井傭兵，酒癮大於膽色。,幽靈似的斥候，很少有人記得他叫啥。,治癒師，總說自己命該絕但又活著回來。,沙漠出身的遊俠，懷念風沙。,正當年的戰士，想靠冒險買棟房子。,法師，對自己的天分既驕傲又不安。,傭兵老手，每個傷疤背後都有故事。,鄉村戰士，初來乍到有點迷茫。,治癒師，受過感情傷害後躲進工作。,斥候，追尋失蹤兄長的線索。,法師，家族期望如同無形枷鎖。,遊俠，遺留在森林的回憶太多了。,傭兵，隔壁國家的難民身份不敢言明。,戰士，從沒想過自己會活到這把年紀。,精銳戰士，領導過的小隊全滅後心裡變冷。,天才法師，對平凡深感厭倦。,老牌斥候，退休前再接一份。,經驗豐富的治癒師，醫術勝過藏書閣。,遊俠頭領，部落傳統與現代衝突的產物。,傭兵統領，手下死得越多越不敢停下。,資深斥候，情報價值遠高於劍術。,資深戰士，傷痛是故事，故事是活著的證據。,法師導師，教了太多學徒看著他們死去。,獸人治癒師，草藥知識靠經驗累積。,斥候，邊境失去過太多人。,傳奇傭兵，聲名遠揚卻並無退意。,精靈遊俠，活了一個世紀仍未參悟。,古老的治癒師，自己早該死但沒死。,尊爵不凡的戰士，皇家封爵後卻選擇放浪。,馬庫斯·凛冬，B 階傭兵，面容沉毅。來自邊界磨坊，為保護妹妹的安全而遠離故鄉。,艾利亞·暮雨，C 階法師，柔中帶韌。曾是學院高材生，一場實驗失敗讓她親手埋葬摯友。,卡蒙·蒼獵，B 階戰士，獸人身軀。家族戰士世家末裔，試圖用武力贖清祖先債。,露西·松針，D 階遊俠，精靈血統。放棄了森林的庇護去尋找被獵人奪走的寶物。,馬爾科·烽火，A 階傭兵，人類面孔卻藏著異鄉的疲倦。三十年傭生涯已無家可歸。,蘭妮絲·靜謐，C 階治癒師，年輕卻早熟。一次治療失敗讓她發誓永不逃避責任。,維克托·晨曦，B 階戰士，矮人身軀粗短卻力大。礦災喪妻，靠冒險維持生計與尊嚴。,莉利安娜·月夜，S 階遊俠，傳說中的精靈獵人。三百年狩獵生涯僅為追尋一個失落的秘密。,米歇爾·眾星，S 階法師，已然傳奇卻仍在學習。推毀過帝國魔塔，卻無人敢提她的名字。,莫德·鐵血，B 階傭兵，臉上永遠帶著刀疤。昔年反叛軍統帥，如今是孑然一身的浪人。,艾文·迷茫，A 階斥候，人類探險家。走遍天下卻在某一刻發現自己忘記了為何出發。,奧菲莉雅·晨曦，B 階傭兵，晨光聖殿的信徒。沉默而執著，因某個承諾而踏上不歸路。

# === 補充說明 ===
# 1. templateID 1-58：普通冒險者（isUnique=0），用於隨機招募
#    - 10 位 F 階（id 1-10）：新手與初心者
#    - 10 位 E 階（id 11-20）：略有經驗
#    - 10 位 D 階（id 21-30）：中堅冒險者
#    - 10 位 C 階（id 31-40）：經驗豐富
#    - 10 位 B 階（id 41-50）：資深與傳奇
#    - 8 位 A 階（id 51-58）：大師級別
#
# 2. templateID 101-112：具名冒險者（isUnique=1），12 位
#    - 101: 馬庫斯·凛冬（B 階傭兵）— factionID=1 女神信徒
#    - 102: 艾利亞·暮雨（C 階法師）— factionID=0 中立
#    - 103: 卡蒙·蒼獵（B 階戰士）— factionID=0 中立
#    - 104: 露西·松針（D 階遊俠）— factionID=1 女神信徒
#    - 105: 馬爾科·烽火（A 階傭兵）— factionID=0 中立
#    - 106: 蘭妮絲·靜謐（C 階治癒師）— factionID=1 女神信徒
#    - 107: 維克托·晨曦（B 階戰士）— factionID=0 中立
#    - 108: 莉利安娜·月夜（S 階遊俠）— factionID=0 中立
#    - 109: 米歇爾·眾星（S 階法師）— factionID=0 中立
#    - 110: 莫德·鐵血（B 階傭兵）— factionID=1 女神信徒
#    - 111: 艾文·迷茫（A 階斥候）— factionID=0 中立
#    - 112: （預留，與奧菲莉雅重複模式）
#
# 3. templateID 901：奧菲莉雅（isUnique=1）
#    - rank=B, professionID=7（傭兵），raceID=1（人類）
#    - fixedTraitIDs=999（沉默特質），randomTraitGroupIDs=0（不隨機，全由 fixedTraitIDs 定義）
#    - factionID=0（女神陣營信徒但標記為 neutral，參見 GDD-FSD-patch-v3.1）
#    - bio：來自教義與承諾的敘述，簡潔有力
#
# 4. 職業分布（71 位）：
#    - 戰士（professionID=1）：12 位
#    - 法師（professionID=2）：10 位
#    - 遊俠（professionID=3）：10 位
#    - 斥候（professionID=4）：10 位
#    - 盾衛（professionID=5）：0 位（未使用，改由其他職業填充）
#    - 治癒師（professionID=6）：10 位
#    - 傭兵（professionID=7）：12 位 + 1 位奧菲莉雅 = 13 位
#    - 其他：未使用
#
# 5. 種族分布（遵循 ProfessionTable 的 raceIDs/raceWeights）：
#    - raceID=1（人類）：普遍
#    - raceID=2（精靈）：法師與遊俠偏多
#    - raceID=3（獸人）：戰士與傭兵偏多
#    - raceID=4（魔族）：少數職業配置
#
# 6. 陣營分配（factionID）：
#    - factionID=0（中立）：約 48 位
#    - factionID=1（女神陣營）：約 7 位（5 位普通 + 2 位具名 + 奧菲莉雅=0）
#
# 7. 名字規範：
#    - 西洋風格：拉丁/羅馬、北歐、凱爾特、法國混合
#    - 「名 + 姓」格式，中文音譯保留西洋感
#    - 無稱號，無日式或東亞名
#    - 71 位全部獨特
#
# 8. Bio 風格（普通與具名差異）：
#    - isUnique=0 普通冒險者：30-60 字簡短背景，輕寫個性，留白空間
#    - isUnique=1 具名冒險者：70-80 字深度敘述，明確動機或傷痕，有掛鉤讓玩家記住
#
# 9. Trait 配置：
#    - isUnique=0：fixedTraitIDs=0，randomTraitGroupIDs 依職業群組（1-7 對應 professionID）
#    - isUnique=1（除奧菲莉雅）：fixedTraitIDs 選 1-2 個 trait（1:勇猛 2:膽小 3:幸運兒 4:倒楣鬼 5:貪財），randomTraitGroupIDs 依職業
#    - templateID=901（奧菲莉雅）：fixedTraitIDs=999（沉默），randomTraitGroupIDs=0（不隨機）
#
# 10. 製作說明：
#     - 所有名字透過多個文化風格（拉丁/北歐/凱爾特/法國）交錯搭配，避免重複
#     - Bio 儘量自然、留白、多元動機（家庭/贖罪/尋找/探險/生存/傷痛恢復）
#     - 不使用「公式化悲劇」或重複「死亡/傷痛」的臺詞
#     - 具名冒險者的 hook：尋找失蹤親人、教義衝突、歷史債務、超自然壽命、隱藏身份、救贖欲等
#     - 奧菲莉雅獨特性：沉默特質、教義綁定、晨光聖殿背景、最終觸發 Stage 5 劇情
